"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","Wed Feb 18 18:39:24 UTC 2026","passed","Wed Feb 18 18:39:24 UTC 2026","TestUserAuthentication","test_markers","",""
"","1697","Navigation from login page to registration page","tests.authentification","Wed Feb 18 18:39:14 UTC 2026","passed","Wed Feb 18 18:39:16 UTC 2026","TestAuthorization","test_authorization","",""
"","2130","User login with wrong email or password","tests.authentification","Wed Feb 18 18:39:09 UTC 2026","passed","Wed Feb 18 18:39:12 UTC 2026","TestAuthorization","test_authorization","",""
"","1889","User login with wrong email or password","tests.authentification","Wed Feb 18 18:39:12 UTC 2026","passed","Wed Feb 18 18:39:14 UTC 2026","TestAuthorization","test_authorization","",""
"","3546","Check edit courses list","tests.courses","Wed Feb 18 18:39:20 UTC 2026","passed","Wed Feb 18 18:39:23 UTC 2026","TestCourses","test_courses","",""
"","1765","User login with wrong email or password","tests.authentification","Wed Feb 18 18:39:13 UTC 2026","passed","Wed Feb 18 18:39:15 UTC 2026","TestAuthorization","test_authorization","",""
"","0","test_password_reset","tests.pytest","Wed Feb 18 18:39:24 UTC 2026","passed","Wed Feb 18 18:39:24 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_regress","tests.pytest","Wed Feb 18 18:39:24 UTC 2026","passed","Wed Feb 18 18:39:24 UTC 2026","","test_markers","",""
"","1","test_logout","tests.pytest","Wed Feb 18 18:39:24 UTC 2026","passed","Wed Feb 18 18:39:24 UTC 2026","TestUserAuthentication","test_markers","",""
"","1976","Correct registration","tests.authentification","Wed Feb 18 18:39:15 UTC 2026","passed","Wed Feb 18 18:39:17 UTC 2026","TestRegistration","test_registration","",""
"","1294","test_successful_token[chromium]","tests.pytest","Wed Feb 18 18:39:24 UTC 2026","passed","Wed Feb 18 18:39:25 UTC 2026","","test_token","",""
"","2429","Check correct create course","tests.courses","Wed Feb 18 18:39:19 UTC 2026","passed","Wed Feb 18 18:39:21 UTC 2026","TestCourses","test_courses","",""
"","1667","Check displaying of empy courses list","tests.courses","Wed Feb 18 18:39:18 UTC 2026","passed","Wed Feb 18 18:39:19 UTC 2026","TestCourses","test_courses","",""
"","3023","Correct navigation","tests.authentification","Wed Feb 18 18:39:09 UTC 2026","passed","Wed Feb 18 18:39:12 UTC 2026","TestAuthorization","test_authorization","",""
"","2148","Check displaying of dashboard page","tests.dashboard","Wed Feb 18 18:39:22 UTC 2026","passed","Wed Feb 18 18:39:24 UTC 2026","TestDashboard","test_dashboard","",""
