"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regress","tests.pytest","Wed Feb 18 18:44:16 UTC 2026","passed","Wed Feb 18 18:44:16 UTC 2026","","test_markers","",""
"","2442","Check correct create course","tests.courses","Wed Feb 18 18:44:11 UTC 2026","passed","Wed Feb 18 18:44:14 UTC 2026","TestCourses","test_courses","",""
"","0","test_password_reset","tests.pytest","Wed Feb 18 18:44:16 UTC 2026","passed","Wed Feb 18 18:44:16 UTC 2026","TestUserAuthentication","test_markers","",""
"","2079","Check displaying of dashboard page","tests.dashboard","Wed Feb 18 18:44:14 UTC 2026","passed","Wed Feb 18 18:44:16 UTC 2026","TestDashboard","test_dashboard","",""
"","1","test_login","tests.pytest","Wed Feb 18 18:44:16 UTC 2026","passed","Wed Feb 18 18:44:16 UTC 2026","TestUserAuthentication","test_markers","",""
"","1872","User login with wrong email or password","tests.authentification","Wed Feb 18 18:44:04 UTC 2026","passed","Wed Feb 18 18:44:06 UTC 2026","TestAuthorization","test_authorization","",""
"","1648","User login with wrong email or password","tests.authentification","Wed Feb 18 18:44:05 UTC 2026","passed","Wed Feb 18 18:44:07 UTC 2026","TestAuthorization","test_authorization","",""
"","0","test_logout","tests.pytest","Wed Feb 18 18:44:16 UTC 2026","passed","Wed Feb 18 18:44:16 UTC 2026","TestUserAuthentication","test_markers","",""
"","1155","test_successful_token[chromium]","tests.pytest","Wed Feb 18 18:44:16 UTC 2026","passed","Wed Feb 18 18:44:18 UTC 2026","","test_token","",""
"","1660","Check displaying of empy courses list","tests.courses","Wed Feb 18 18:44:10 UTC 2026","passed","Wed Feb 18 18:44:12 UTC 2026","TestCourses","test_courses","",""
"","2060","User login with wrong email or password","tests.authentification","Wed Feb 18 18:44:02 UTC 2026","passed","Wed Feb 18 18:44:04 UTC 2026","TestAuthorization","test_authorization","",""
"","3068","Correct navigation","tests.authentification","Wed Feb 18 18:44:02 UTC 2026","passed","Wed Feb 18 18:44:05 UTC 2026","TestAuthorization","test_authorization","",""
"","1638","Navigation from login page to registration page","tests.authentification","Wed Feb 18 18:44:07 UTC 2026","passed","Wed Feb 18 18:44:08 UTC 2026","TestAuthorization","test_authorization","",""
"","3553","Check edit courses list","tests.courses","Wed Feb 18 18:44:12 UTC 2026","passed","Wed Feb 18 18:44:16 UTC 2026","TestCourses","test_courses","",""
"","1922","Correct registration","tests.authentification","Wed Feb 18 18:44:07 UTC 2026","passed","Wed Feb 18 18:44:09 UTC 2026","TestRegistration","test_registration","",""
