"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1831","User login with wrong email or password","tests.authentification","Wed Feb 18 18:58:15 UTC 2026","passed","Wed Feb 18 18:58:16 UTC 2026","TestAuthorization","test_authorization","",""
"","1","test_logout","tests.pytest","Wed Feb 18 18:58:25 UTC 2026","passed","Wed Feb 18 18:58:25 UTC 2026","TestUserAuthentication","test_markers","",""
"","3411","Check edit courses list","tests.courses","Wed Feb 18 18:58:23 UTC 2026","passed","Wed Feb 18 18:58:26 UTC 2026","TestCourses","test_courses","",""
"","0","test_login","tests.pytest","Wed Feb 18 18:58:25 UTC 2026","passed","Wed Feb 18 18:58:25 UTC 2026","TestUserAuthentication","test_markers","",""
"","2967","User login with wrong email or password","tests.authentification","Wed Feb 18 18:58:16 UTC 2026","passed","Wed Feb 18 18:58:19 UTC 2026","TestAuthorization","test_authorization","",""
"","1578","test_successful_token[chromium]","tests.pytest","Wed Feb 18 18:58:25 UTC 2026","passed","Wed Feb 18 18:58:27 UTC 2026","","test_token","",""
"","1798","Check displaying of dashboard page","tests.dashboard","Wed Feb 18 18:58:27 UTC 2026","passed","Wed Feb 18 18:58:29 UTC 2026","TestDashboard","test_dashboard","",""
"","1730","Check displaying of empy courses list","tests.courses","Wed Feb 18 18:58:20 UTC 2026","passed","Wed Feb 18 18:58:22 UTC 2026","TestCourses","test_courses","",""
"","2453","Check correct create course","tests.courses","Wed Feb 18 18:58:22 UTC 2026","passed","Wed Feb 18 18:58:24 UTC 2026","TestCourses","test_courses","",""
"","2124","Correct registration","tests.authentification","Wed Feb 18 18:58:19 UTC 2026","passed","Wed Feb 18 18:58:21 UTC 2026","TestRegistration","test_registration","",""
"","3242","Correct navigation","tests.authentification","Wed Feb 18 18:58:12 UTC 2026","passed","Wed Feb 18 18:58:15 UTC 2026","TestAuthorization","test_authorization","",""
"","0","test_regress","tests.pytest","Wed Feb 18 18:58:25 UTC 2026","passed","Wed Feb 18 18:58:25 UTC 2026","","test_markers","",""
"","1509","Navigation from login page to registration page","tests.authentification","Wed Feb 18 18:58:17 UTC 2026","passed","Wed Feb 18 18:58:18 UTC 2026","TestAuthorization","test_authorization","",""
"","2118","User login with wrong email or password","tests.authentification","Wed Feb 18 18:58:12 UTC 2026","passed","Wed Feb 18 18:58:14 UTC 2026","TestAuthorization","test_authorization","",""
"","0","test_password_reset","tests.pytest","Wed Feb 18 18:58:25 UTC 2026","passed","Wed Feb 18 18:58:25 UTC 2026","TestUserAuthentication","test_markers","",""
